galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
UGC04305_rotmod,22,231.5499728680382,11.026189184192296,2.2295417017283103,4.9368871393834945,-2.158010697342564,30.085,36.73394824638279,1.221005426171939,8.92551493494873e-12,7.829816685646245e-12,-0.24657891132000823,-1.1993338989205204,0.0,-1.9461073526801658,-2.5003539600257105,0.5542466073455448,0.8081667096497664,5.956898405720653e-12,10.0,Im,34.5,76.71,3.0,-1.0642108619507773,-0.2651381080168866,-1.0,-1.6012380044701642,0.0,-0.5454545454545455,-0.9893661316373293
NGC4214_rotmod,14,146.1016786081108,11.23859066216237,3.2088295109779716,4.128898616415494,3.130541184807961,75.22142857142856,55.6295584898711,0.7395440308215702,2.894180603152639e-11,2.0169734463961203e-11,-1.4999017965472585,-0.12234227858998789,0.0,-0.28805915432558293,-0.36520655874689983,0.07714740442131689,0.8081667096497664,3.126809167456661e-11,10.0,Im,80.1,363.77,2.0,-0.22189433191377791,1.2913516138039804,-1.0,-0.3338677041742991,0.5136652515110215,-0.5454545454545455,-0.0257219648008482
UGC03205_rotmod,48,577.1400643974325,12.279575838243245,2.027439705275943,5.998266469755883,1.5500500003338573,215.125,203.11844715561915,0.9441880169930001,1.836081626831519e-10,4.7099019029607405e-11,-2.7201494766903824,0.7368445371635051,0.0,1.3526402720468176,1.8817047581641342,-0.5290644861173167,0.8081667096497664,1.613050944977718e-10,2.0,Sab,219.6,587.26,1.0,0.7866375236472841,1.770297465928723,1.6666666666666667,1.1835942891030071,0.6717246579708412,0.9090909090909092,0.6476555291652468
UGC05414_rotmod,6,61.559832144775356,12.31196642895507,3.0772913774203907,3.6508112009590064,-3.1772255461716328,45.18333333333333,52.97334812905168,1.1724090327344525,1.1426212768847366e-11,2.9685743564464626e-11,-0.21877406974487512,0.1613733170893268,0.0,1.0346897546634013,0.479960890300127,0.5547288643632742,0.8081667096497664,1.173718442643342e-10,10.0,Im,0.0,32.87,1.0,0.0,-1.1126097983119634,-1.0,0.0,-0.27967853101826695,-0.5454545454545455,-0.9993632444664926
NGC3877_rotmod,13,154.51470778794044,12.876225648995037,2.674668564392195,4.9572435478525945,-1.8634259925775927,144.06923076923078,155.17989855506073,1.0771203380937526,9.841118470613115e-11,4.9717218686662925e-11,-0.6110877770220624,0.5587917300816343,0.0,0.9902838360483343,1.521241188311216,-0.5309573522628818,0.8081667096497664,1.1227386756090632e-10,5.0,Sc,168.4,598.18,2.0,0.5211719158201351,1.7887215260146039,0.6666666666666666,0.7841681647037393,0.6778048776633921,0.36363636363636365,0.665101959385654
NGC0024_rotmod,29,360.58125508227334,12.877901967224048,3.068826004921614,4.226733970812333,3.0973994839744243,84.65862068965517,63.40780930225963,0.7489823101973563,3.62286914665127e-11,3.9275814425875954e-11,-1.1889008743911464,-0.029465603553207834,0.0,0.4612012036809495,-0.08837123686193661,0.5495724405428861,0.8081667096497664,6.614560842721807e-11,5.0,Sc,106.3,151.65,1.0,0.06109509935981083,0.4164050481464987,0.6666666666666666,0.09192519873597635,0.22491959427572195,0.36363636363636365,-0.9017784560432683
UGC06614_rotmod,13,155.1406582450617,12.928388187088474,2.168960560505774,5.982590886004083,-2.831048109592695,186.30769230769232,217.767765464306,1.1688608385780255,7.979171654045219e-11,3.9543218051956426e-11,-3.1816204006186024,0.5622367990808652,0.0,0.975137347443906,1.5289054787986243,-0.5537681313547183,0.8081667096497664,1.1058612664571346e-10,1.0,Sa,199.8,1461.61,1.0,0.6921466802263618,2.682123660869487,2.0,1.0414210272339524,0.9726411530766723,1.090909090909091,0.9796400468124695
UGC07151_rotmod,11,130.3818049074403,13.03818049074403,1.9269936547726836,6.360222707034291,2.328863713017569,62.30909090909092,57.117345031111654,0.9166775537528861,1.807509144402421e-11,2.1150730574736438e-11,-0.4480904278273963,-0.44745467041870013,0.0,-0.7051668821362027,-1.2594134894817475,0.5542466073455448,0.8081667096497664,2.06041067853937e-11,6.0,Scd,73.5,76.71,1.0,-0.3078847797693004,-0.2651381080168866,0.3333333333333333,-0.46325106047201103,0.0,0.18181818181818182,-0.9893661316373293
ESO116-G012_rotmod,15,205.88042792703078,14.70574485193077,2.410668699789255,6.302532600927126,2.468915656534601,86.74666666666667,80.18900978094139,0.9244045086951436,1.9768023507083325e-11,3.702589645177874e-11,-0.7864156694545786,0.11135988207364232,0.0,0.886571294518951,0.33270548572096525,0.5538658087979857,0.8081667096497664,1.0121314007831972e-10,7.0,Sd,109.1,90.54,1.0,0.08709470685093373,-0.09937844398027873,0.0,0.13104485171506683,0.05470320704600563,0.0,-0.9816102432650058
D564-8_rotmod,6,74.00539252687331,14.801078505374662,3.0982043951481435,4.69609904023055,-3.3649277722893487,19.05666666666667,24.729773724584003,1.2976967146012244,1.5860521101144569e-12,1.1034879879510441e-11,-0.7542128891656642,0.1613733170893268,0.0,1.03471954946318,0.479960890300127,0.554758659163053,0.8081667096497664,1.173753413870315e-10,10.0,Im,0.0,10.11,2.0,0.0,-2.2916451529557116,-1.0,0.0,-0.6687781077729202,-0.5454545454545455,-0.999987411143113
