galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
UGC07603_rotmod,12,255.7030309606966,23.245730087336053,5.023963424826195,5.808488314033311,4.1206558546716625,52.71666666666667,40.807971246665566,0.7740999920328593,9.11580274636026e-12,2.1009392176944798e-11,-1.0064765386772214,-0.07725760670818553,-0.23131278802069513,-0.17994574683209488,-0.23131278802069513,-0.024683185485499415,0.6609468546602075,1.8387358339161412e-10,7.0,Sd,61.6,81.81,1.0,-0.4845083154486173,-0.20077070046248446,0.0,-0.7290032040793324,0.021242222243437064,0.0,0.9848429335706366
NGC1705_rotmod,14,325.7255426369777,25.055810972075207,4.043498716751479,6.652483906842707,4.459178164089767,69.64999999999999,47.980304279762166,0.6888773048063485,1.4910899955847157e-11,2.706113167768199e-11,-1.3963370311200218,-0.01651644998308508,-0.04954484486691386,0.0020044930253495657,-0.04954484486691386,-0.024770783743950628,0.7926972560802119,2.2056638482830827e-10,11.0,BCD,71.9,347.4,3.0,-0.32989392126109024,1.245306667818913,-1.3333333333333333,-0.49636655953562153,0.49846971990637845,-0.7272727272727273,0.9995666727240335
UGC08550_rotmod,11,252.75176967865528,25.275176967865526,4.985246213824494,6.203871716726961,4.60050848236121,49.78181818181818,40.00313143211246,0.8035691120402431,5.4803074800119825e-12,1.584922009212125e-11,-0.26602460957985047,-0.08991305124695839,-0.26901460746109557,-0.2182774759914347,-0.26901460746109557,-0.024380497651590262,0.6364918514261986,1.7695876609870552e-10,7.0,Sd,56.9,45.38,1.0,-0.5638748448558062,-0.7900987066363956,0.0,-0.8484200487230096,-0.17324497177392884,0.0,0.9368397437260165
NGC6503_rotmod,31,776.2208617764367,25.87402872588122,3.311242729034717,7.777941170672918,4.121123510923103,114.29032258064517,107.80518706257533,0.9432573522268798,2.1570803360835355e-11,3.34266068242656e-11,-1.5903309131503323,0.01505651402970796,0.04516612910773766,0.09672002371182112,0.04516612910773766,-0.024772973361270514,0.8714446504970987,2.4247879063252393e-10,6.0,Scd,116.3,774.16,1.0,0.15100287353652742,2.0466083845845957,0.3333333333333333,0.22720266117907115,0.7629114583311875,0.18181818181818182,0.9999397902138979
ESO116-G012_rotmod,15,365.9115697920491,26.13654069943208,3.44322313959294,8.23744811470998,3.9173675476929066,86.74666666666667,75.96873160473606,0.8757538995320019,1.4678162264863148e-11,3.5346327681662436e-11,-0.6731554942154029,0.013887746388880585,0.04166056085056891,0.09306926035532806,0.04166056085056891,-0.02470320337870428,0.8683950901364413,2.4159517187186326e-10,7.0,Sd,109.1,90.54,1.0,0.08709470685093373,-0.09937844398027873,0.0,0.13104485171506683,0.05470320704600563,0.0,0.9881730141654559
UGC04305_rotmod,22,566.2859441941,26.96599734257619,4.302467245594293,7.533462282995646,-4.036082391868114,30.085,43.12556502370244,1.4334573715706314,7.083493032736667e-12,1.5637597940245665e-11,-0.1160577186887992,-0.14262921589673944,-0.4250095457857651,-0.37367496886010565,-0.4250095457857651,-0.02466758557152199,0.5445592094588896,1.5148994493358223e-10,10.0,Im,34.5,76.71,3.0,-1.0642108619507773,-0.2651381080168866,-1.0,-1.6012380044701642,0.0,-0.5454545454545455,0.9822617790886962
NGC3726_rotmod,12,308.48403381603634,28.044003074185124,4.655656651292359,7.028754363245307,-4.389421339305072,151.83333333333334,175.1205072812496,1.1533732642014243,3.2311678772216835e-11,5.6210643720713306e-11,-1.9465204380918386,0.06468111510623369,0.1937731944653593,0.24530669684155051,0.1937731944653593,-0.024763174370869674,1.0110649069318691,2.8132228065172236e-10,5.0,Sc,168.0,198.08,2.0,0.5187937934151675,0.68350080350814,0.6666666666666666,0.7805899828694214,0.3130652507692722,0.36363636363636365,0.9982719638598769
UGC00891_rotmod,5,112.89837930138042,28.224594825345104,3.531273252287212,6.842272424986203,-3.6739166076813268,49.190000000000005,53.75606660556747,1.0928250987104586,4.150189972708866e-12,1.9375691690183666e-11,-0.7459831901797769,0.018043506074323288,0.05412464459767809,0.09717104229581312,0.05412464459767809,-0.020684902113876177,0.8792865744497395,2.425881777392778e-10,9.0,Sm,0.0,19.09,2.0,0.0,-1.6560055482504352,-0.6666666666666666,0.0,-0.45900738276014114,-0.36363636363636365,0.5683455068632259
ESO563-G021_rotmod,30,820.1684317786968,28.281670061334374,2.3888217199515385,8.424140273015377,2.0168768812174758,263.31,249.99364661748547,0.9494270882894135,5.711554245396682e-11,9.859102783659466e-11,-1.0156466528545123,0.1556919761618243,0.4633381932055767,0.514889682765057,0.4633381932055767,-0.024771817675432538,1.3238830693869033,3.683685399522269e-10,4.0,Sbc,314.6,429.37,1.0,1.1461318046360862,1.4571488320881154,1.0,1.7244982825594946,0.5683808520291657,0.5454545454545455,0.9997428264940847
NGC2841_rotmod,50,1394.7472517133667,28.4642296268034,4.6914106037415735,7.435213892130451,4.91420048655548,301.42,267.1194175514458,0.8862033625885667,1.1427935843269985e-10,9.091653188757059e-11,-1.4828308103767491,0.13080202047177242,0.39018335780506436,0.4417375799497273,0.39018335780506436,-0.024773130752949873,1.2304922616463272,3.423836190218346e-10,3.0,Sb,284.8,983.63,1.0,1.0466169935497294,2.2860796240921593,1.3333333333333333,1.574765834586685,0.8419406049723919,0.7272727272727273,0.999966619921297
